name,date,plate,well,group
3M-1,033021,p4,B11,PA3M3
3M-2,033021,p1,A5,PA3M3
3M-3,033021,p1,C4,PA3M3
3M-4,033021,p1,D7,PA3M3
3M-5,033021,p1,D8,PA3M3
3M-6,033021,p1,H9,PA3M3
3M-7,033021,p2,B7,PA3M3
3M-8,020321,p1,G2,PA3M4
3M-9,020321,p2,E5,PA3M4
3M-10,020321,p6,B6,PA3M4
3M-11,041321,p1,C4,PA3M2-W23
3M-12,041321,p1,D11,PA3M2-W23
3M-13,041321,p1,E11,PA3M2-W23
3M-14,041321,p1,G1,PA3M2-W23
3M-15,041321,p1,H7,PA3M2-W23
3M-16,040921,p5,B1,PA3M2-W23
3M-17,040921,p5,C7,PA3M2-W23
3M-18,040921,p5,E9,PA3M2-W23
3M-19,040921,p6,C2,PA3M2-W23
3M-20,020421,p2,B1,PA3M1-W23
3M-21,020421,p2,C8,PA3M1-W23
3M-22,040921,p1,D1,PA3M2-W25
3M-23,040921,p1,D8,PA3M2-W25
3M-24,040921,p1,D10,PA3M2-W25
3M-25,040921,p1,F11,PA3M2-W25
3M-26,040921,p1,F12,PA3M2-W25
3M-27,040921,p2,B6,PA3M2-W25
3M-28,040921,p3,A9,PA3M2-W25
3M-29,022621,p1,A7,PA3M1-W25
3M-30,022621,p1,C6,PA3M1-W25
3M-31,020321,p1,b4,PA3M4
3M-32,020321,p1,h6,PA3M4
3M-33,020321,p4,e4,PA3M4
3M-34,022621,p2,b9,PA3M1-W25
3M-35,022621,p2,e6,PA3M1-W25
3M-36,072122,p1,b2,PA3M2-W25
3M-37,072122,p1,d8,PA3M2-W25
